,CANT,DESCR,SUBTOTAL_PARTIDA
263,2,"TER K 1/4""ØX8"" EXT.1MT RES-PIA C/CLAVIJA",2040.0
264,4,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",2500.8
265,4,"TUB INOX 5/16""ØX795MM 780W 120V T/TORNI",1875.86
266,1,BC PLANA 13CMX20CM 1500W240V OCTAGONAL,2524.5
267,4,"TUB COBRE 1/2""ØX218MM 700W 120V ELIPSE",4120.0
268,4,"TUB COBRE 7/16""ØX218MM 1500W 120V ELIPSE",4378.4
269,2,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",5251.0
270,6,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,23340.0
271,6,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,23340.0
272,1,"BOQUILLA 2X2""  350W 240V""",462.0
273,1,REPARACION DE BRIDA DE 125KW 1240V DELTA,4315.0
274,3,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",2976.75
275,2,"TER K 1/4""Øx79CM DOBLEZ 90° C.STD MAC/HE",1038.0
276,1,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,512.36
277,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,382.76
278,1,"TUB INOX 1/4""ØX443MM 500W220V RECTA-PLAC",560.04
279,15,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",13701.02
280,1,"TUB INOX 7/16""Øx1080MM ""U"" 5000W220V BUS",1255.2
281,2,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",675.4
282,2,"TUB INOX 7/16""ØX49CM 3000W127V ""U"" BUS",1931.0
283,4,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,1060.0
284,1,"TUB INOX 1/4""ØX370MM 7500W 220V ""U"" PLAC",2265.0
285,4,"CAS INOX  3/8""ØX3"" 100W127 0V EXT.30CM",2296.0
286,5,BAN INOX 170MMØX55MM 1300W 440V C/STD,5515.0
287,2,BAN INOX 57MMØX45MM 250W260V CINT/ALLEN,1155.6
288,9,"TUB INOX 3/8""ØX75CM W MAX 480V ""M"" ESP",11976.12
289,1,BOB 8020 CAL.16 19MMØX1170MM 5300W 240V,800.0
290,4,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",8873.08
